"DOI.ISBN","rcross_title","rcross_author","rcross_found"
"10.1890/02-5365","Ecological Applications","Endress",TRUE
"10.1890/02-5385","Ecological Applications","Davis",TRUE
"10.1890/03-0119","Ecology","Fréville",TRUE
"10.1890/03-0256","Ecology","Crone",TRUE
"10.1890/03-4029","Ecological Monographs","Menges",TRUE
"10.1890/03-5212","Ecological Applications","Louda",TRUE
"10.1890/03-5382","Ecological Applications","Liu",TRUE
"10.1890/04-0434","Ecological Applications","Smith",TRUE
"10.1890/04-0479","Ecological Applications","Gotelli",TRUE
"10.1890/04-1483","Ecology","Koop",TRUE
"10.1890/04-1762","Ecological Applications","Jacquemyn",TRUE
"10.1890/04-1952","Ecology","Pfister",TRUE
"10.1890/05-0195","Ecology","Shea",TRUE
"10.1890/05-1197","Ecology","Fowler",TRUE
"10.1890/06-1282","Ecological Applications","Schutzenhofer",TRUE
"10.1890/06-2009.1","Ecology","Abe",TRUE
"10.1890/07-0568.1","Ecological Applications","Burns",TRUE
"10.1890/07-1128.1","Ecological Applications","Bullock",TRUE
"10.1890/07-1908.1","Ecology","Jacquemyn",TRUE
"10.1890/08-0111.1","Ecology","Brodie",TRUE
"10.1890/08-1446.1","Ecology","Griffith",TRUE
"10.1890/08-2321.1","Ecology","Jacquemyn",TRUE
"10.1890/09-0418.1","Ecology","Dangremond",TRUE
"10.1890/09-0480.1","Ecology","Loayza",TRUE
"10.1890/09-0750","Ecological Applications","Prevey",TRUE
"10.1890/09-0750.1","Ecological Applications","Prevéy",TRUE
"10.1890/10-1957.1","Ecology","Jäkäläniemi",TRUE
"10.1890/10-2268.1","Ecological Monographs","Norghauer",TRUE
"10.1890/1051-0761(1997)007[0519:ACODCI]2.0.CO;2","Ecological Applications","Byers",TRUE
"10.1890/1051-0761(1998)008[0824:EBAIWM]2.0.CO;2","Ecological Applications","Shea",TRUE
"10.1890/1051-0761(2001)011[1366:TEOFOT]2.0.CO;2","Ecological Applications","Kaye",TRUE
"10.1890/1051-0761(2002)012[1672:ASBPVI]2.0.CO;2","Ecological Applications","Satterthwaite",TRUE
"10.1890/1051-0761(2006)016[2399:DMISOB]2.0.CO;2","Ecological Applications","Davis",TRUE
"10.1890/1051-0761(2007)017[0118:TSBPAR]2.0.CO;2","Ecological Applications","Zuidema",TRUE
"10.1890/11-0948.1","Ecology","Bricker",TRUE
"10.1890/11-1052.1","Ecology","Ellis",TRUE
"10.1890/11-1271.1","Ecology","Geib",TRUE
"10.1890/11-1291.1","Ecological Applications","Evans",TRUE
"10.1890/12-1310.1","Ecology","Burns",TRUE
"10.1890/13-1984.1","Ecology","Haridas",TRUE
"10.1890/ES13-00094.1","Ecosphere","Maines",TRUE
"10.1894/F02-JB-17.1","The Southwestern Naturalist","Keeler",TRUE
"10.2111/1551-5028(2005)58[466:DOGTGP]2.0.CO;2","Rangeland Ecology & Management","Oliva",TRUE
"10.2216/i0031-8884-25-1-11.1","Phycologia","De Wreede",TRUE
"10.2307/176863","Ecology","Batista",TRUE
"10.2307/176952","Ecology","Pascarella",TRUE
"10.2307/177080","Ecology","Hoffmann",TRUE
"10.2307/1933696","Ecology","Steenbergh",TRUE
"10.2307/1935088","Ecology","Sohn",TRUE
"10.2307/1936930","Ecology","Werner",TRUE
"10.2307/1937693","Ecology","Goldberg",TRUE
"10.2307/1939207","Ecology","Huenneke",TRUE
"10.2307/1939418","Ecology","Lehtilä",TRUE
"10.2307/1940111","Ecology","Meagher",TRUE
"10.2307/1940182","Ecology","Kalisz",TRUE
"10.2307/1940400","Ecology","Taylor",TRUE
"10.2307/1940473","Ecology","Calvo",TRUE
"10.2307/1941457","Ecology","Doak",TRUE
"10.2307/1941656","Ecology","Moloney",TRUE
"10.2307/1942038","Ecological Applications","Olmsted",TRUE
"10.2307/2258643","The Journal of Ecology","Sarukhan",TRUE
"10.2307/2259425","The Journal of Ecology","Barkham",TRUE
"10.2307/2259533","The Journal of Ecology","Waite",TRUE
"10.2307/2259545","The Journal of Ecology","Pinero",TRUE
"10.2307/2259600","The Journal of Ecology","McGraw",TRUE
"10.2307/2259775","The Journal of Ecology","Klemow",TRUE
"10.2307/2259776","The Journal of Ecology","Pitelka",TRUE
"10.2307/2260308","The Journal of Ecology","Fiedler",TRUE
"10.2307/2260610","The Journal of Ecology","Eriksson",TRUE
"10.2307/2260717","The Journal of Ecology","Silva",TRUE
"10.2307/2260724","The Journal of Ecology","Charron",TRUE
"10.2307/2261228","The Journal of Ecology","Nault",TRUE
"10.2307/2261246","The Journal of Ecology","Morris",TRUE
"10.2307/2261269","The Journal of Ecology","Cipollini",TRUE
"10.2307/2261351","The Journal of Ecology","Oostermeijer",TRUE
"10.2307/2261390","The Journal of Ecology","Bullock",TRUE
"10.2307/2261628","The Journal of Ecology","Bastrenta",TRUE
"10.2307/2261637","The Journal of Ecology","Okland",TRUE
"10.2307/2261662","The Journal of Ecology","Svensson",TRUE
"10.2307/2261672","The Journal of Ecology","Bengtsson",TRUE
"10.2307/2269341","Ecological Applications","Steege",TRUE
"10.2307/2387694","Biotropica","Bullock",TRUE
"10.2307/2388974","Biotropica","Pinard",TRUE
"10.2307/2401258","The Journal of Applied Ecology","Usher",TRUE
"10.2307/2403051","The Journal of Applied Ecology","Lefebvre",TRUE
"10.2307/2404276","The Journal of Applied Ecology","O'Connor",TRUE
"10.2307/2404462","The Journal of Applied Ecology","Hegazy",TRUE
"10.2307/2426148","American Midland Naturalist","Keeler",TRUE
"10.2307/2426659","American Midland Naturalist","Allphin",TRUE
"10.2307/2444780","American Journal of Botany","McGraw",TRUE
"10.2307/2445615","American Journal of Botany","Lesica",TRUE
"10.2307/2446079","American Journal of Botany","Kephart",TRUE
"10.2307/2679864","Ecology","Mandujano",TRUE
"10.2307/2846032","Journal of Biogeography","Price",TRUE
"10.2307/2937136","Ecological Monographs","Horvitz",TRUE
"10.2307/2937350","Ecological Monographs","Bierzychudek",TRUE
"10.2307/2960501","The Journal of Ecology","Vavrek",TRUE
"10.2307/2960604","The Journal of Ecology","Watson",TRUE
"10.2307/3100033","Ecological Monographs","Miriti",TRUE
"10.2307/3235999","Journal of Vegetation Science","Eriksson",TRUE
"10.2307/3236803","Journal of Vegetation Science","Eriksson",TRUE
"10.2307/3236906","Journal of Vegetation Science","Tolvanen",TRUE
"10.2307/3237044","Journal of Vegetation Science","Abe",TRUE
"10.2307/3237309","Journal of Vegetation Science","Hiura",TRUE
"10.2307/3544870","Oikos","Carlsson",TRUE
"10.2307/3558336","American Journal of Botany","Brewer",TRUE
"10.2478/s11756-009-0002-1","Biologia","Eckstein",TRUE
"10.3159/1095-5674(2007)134[369:PEOPHO]2.0.CO;2","The Journal of the Torrey Botanical Society",NA,TRUE
"10.3170/2007-8-18342","Journal of Vegetation Science","Tanaka",TRUE
"10.3354/meps063281","Marine Ecology Progress Series","Åberg",TRUE
"10.3354/meps093253","Marine Ecology Progress Series","Ang",TRUE
"10.3719/weed.50.60","Journal of Weed Science and Technology",NA,TRUE
"10.3732/ajb.0900351","American Journal of Botany","Bucharova",TRUE
"10.3732/ajb.1400035","American Journal of Botany","Shryock",TRUE
"10.3732/ajb.1400089","American Journal of Botany","Otarola",TRUE
"10.3732/ajb.2007277","American Journal of Botany","Dalgleish",TRUE
"10.3732/ajb.90.8.1207","American Journal of Botany","Knight",TRUE
"10.3732/ajb.91.7.1147","American Journal of Botany","Forbis",TRUE
"10.3732/ajb.92.12.1987","American Journal of Botany","Munzbergova",TRUE
"10.3732/ajb.92.4.674","American Journal of Botany","Sampaio",TRUE
"10.4067/S0717-66432012000100011","Gayana. Botánica","Peña-Gómez",TRUE
